Year,Make,Model,Category,Engine
1894,Hildebrand-Wolfmüller,Motorrad,Allround,1489 ccm
1895,Hildebrand-Wolfmüller,Motorrad,Allround,1489 ccm
1895,Millet,Motorcycle,Allround,625 ccm
1896,Excelsior,Motor Bicycle,Allround,234 ccm
1896,Hildebrand-Wolfmüller,Motorrad,Allround,1489 ccm
1896,Marks,Motor Bike,Allround,90 ccm
1897,Clarke,Gasoline Tricycle,Allround,138 ccm
1897,De,Dion-Bouton Tricycle,Allround,211 ccm
1897,Hildebrand-Wolfmüller,Motorrad,Allround,1489 ccm
1897,Werner,Motocyclette,Allround,216 ccm
1898,Ariel,De Dion Tricycle,Allround,198 ccm
1898,De,Dion-Bouton Tricycle,Allround,211 ccm
1899,De,Dion-Bouton Tricycle,Allround,211 ccm
1899,Orient,Tricycle,Allround,330 ccm
1899,Perks,and Birch Motor Wheel,Allround,208 ccm
1900,De,Dion-Bouton Tricycle,Allround,211 ccm
1900,Orient,Tricycle,Allround,330 ccm
1900,Perks,and Birch Singer 2hp,Allround,208 ccm
1901,Ariel,1.5 hp,Allround,211 ccm
1901,De,Dion-Bouton Tricycle,Allround,211 ccm
1901,Indian,Single,Allround,492 ccm
1901,Marsh,Marsh,Allround,27 ccm
1901,Perks,and Birch Singer 2hp,Allround,208 ccm
1902,Ariel,2 hp,Allround,239 ccm
1902,De,Dion-Bouton Tricycle,Allround,955 ccm
1902,Indian,Single,Allround,492 ccm
1902,Marsh,Marsh,Allround,27 ccm
1903,Ariel,2.25 hp,Allround,249 ccm
1903,De,Dion-Bouton Tricycle,Allround,955 ccm
1903,Harley-Davidson,Model X8,Sport,494 ccm
1903,Indian,Single,Allround,492 ccm
1903,Marsh,Marsh,Allround,27 ccm
1904,De,Dion-Bouton Tricycle,Allround,955 ccm
1904,Harley-Davidson,Model X8,Sport,494 ccm
1904,Indian,Humpeback,Allround,213 ccm
1904,Indian,Single,Allround,492 ccm
1904,Marsh,Marsh,Allround,27 ccm
1904,NSU,Neckarsulmer 4PS,Sport,482 ccm
1905,Harley-Davidson,Model X8,Sport,494 ccm
1905,Indian,Single,Allround,492 ccm
1905,NSU,Neckarsulmer 4PS,Sport,482 ccm
1906,Harley-Davidson,Model X8,Sport,494 ccm
1906,Indian,Single,Allround,492 ccm
1906,NSU,3 1-2 PS,Sport,499 ccm
1906,NSU,Neckarsulmer 4PS,Sport,482 ccm
1907,Harley-Davidson,Model X8,Sport,494 ccm
1907,Indian,Single,Allround,492 ccm
1907,NSU,3 1-2 PS,Sport,499 ccm
1907,NSU,Neckarsulmer 4PS,Sport,482 ccm
1908,Harley-Davidson,Model X8,Sport,494 ccm
1908,Indian,Single,Allround,492 ccm
1908,NSU,3 1-2 PS,Sport,499 ccm
1908,NSU,Neckarsulmer 1 1-2,Sport,243 ccm
1908,NSU,Neckarsulmer 1 1-4,Sport,210 ccm
1908,NSU,Neckarsulmer 4PS,Sport,482 ccm
1909,Flying,Merkel W.S,Allround,500 ccm
1909,Harley-Davidson,Model X8,Sport,494 ccm
1909,Indian,Single,Allround,492 ccm
1909,NSU,3 1-2 PS,Sport,499 ccm
1909,NSU,Neckarsulmer 1 1-2,Sport,243 ccm
1909,Pierce,Four,Sport,696 ccm
1910,Ariel,Arielette,Allround,349 ccm
1910,Flying,Merkel W.S,Allround,500 ccm
1910,Harley-Davidson,Model X8,Sport,494 ccm
1910,Indian,Single,Allround,492 ccm
1910,NSU,3 1-2 PS,Sport,499 ccm
1910,NSU,Neckarsulmer 1 1-2 Pony,Sport,243 ccm
1910,Pierce,Four,Sport,696 ccm
1910,Royal,Pioneer 500,Allround,500 ccm
1911,Emblem,Emblem,Allround,38 ccm
1911,Excelsior,Single,Allround,492 ccm
1911,Flying,Merkel W.S,Allround,500 ccm
1911,Harley-Davidson,Model X8,Sport,494 ccm
1911,Indian,Single,Allround,492 ccm
1911,NSU,3 1-2 PS,Sport,499 ccm
1911,NSU,Neckarsulmer 1 1-2,Sport,243 ccm
1911,Pierce,Four,Sport,696 ccm
1912,Emblem,Emblem,Allround,38 ccm
1912,Excelsior,Single,Allround,492 ccm
1912,Flying,Merkel W.S,Allround,500 ccm
1912,Harley-Davidson,Model X8,Sport,494 ccm
1912,Harley-Davidson,Model X8A,Allround,492 ccm
1912,Henderson,7 HP Four,Allround,934 ccm
1912,Indian,Roadster,Sport,633 ccm
1912,Indian,Single,Allround,492 ccm
1912,Lea,Francis 3.25 Hp,Allround,430 ccm
1912,NSU,3 1-2 PS,Sport,499 ccm
1912,NSU,Neckarsulmer 1 1-2,Sport,243 ccm
1912,Pierce,Four,Sport,696 ccm
1912,Sears,DeLuxe,Sport,575 ccm
1913,Ariel,3.5 HP,Allround,499 ccm
1913,Emblem,Emblem,Allround,38 ccm
1913,Excelsior,7-C,Allround,1000 ccm
1913,Excelsior,Single,Allround,492 ccm
1913,Henderson,Model B,Allround,934 ccm
1913,Indian,Single,Allround,492 ccm
1913,NSU,3 1-2 PS,Sport,499 ccm
1913,Pierce,Four,Sport,696 ccm
1913,Reading,Standard R-S,Allround,1000 ccm
1913,Schickel,Big 5,Allround,648 ccm
1913,Sears,DeLuxe,Sport,575 ccm
1913,Yale,Model 37,Sport,1000 ccm
1914,Ariel,3.5 HP,Allround,499 ccm
1914,Emblem,Emblem,Allround,38 ccm
1914,Excelsior,7-C,Allround,1000 ccm
1914,Joerns,Motor Cyclone,Sport,996 ccm
1914,NSU,3  1-2 PS,Sport,499 ccm
1914,NSU,3 1-2 PS,Sport,499 ccm
1914,Pierce,Four,Sport,696 ccm
1914,Pope,Model L,Sport,998 ccm
1914,Reading,Standard R-S,Allround,1000 ccm
1914,Schickel,Big 5,Allround,648 ccm
1914,Sears,DeLuxe,Sport,575 ccm
1914,Yale,Model 37,Sport,1000 ccm
1915,Ariel,3.5 HP,Allround,499 ccm
1915,Ariel,V-twin,Allround,700 ccm
1915,Blackburne,4HP,Sport,499 ccm
1915,Cleveland,Lighweight engine no.286,Sport,221 ccm
1915,Dayton,C3,Allround,999 ccm
1915,Emblem,Emblem,Allround,38 ccm
1915,Excelsior,7-C,Allround,1000 ccm
1915,Harley-Davidson,11-KR,Sport,998 ccm
1915,Harley-Davidson,Model F,Sport,989 ccm
1915,Harley-Davidson,Model J,Allround,989 ccm
1915,Indian,A,Sport,500 ccm
1915,Indian,B,Sport,684 ccm
1915,Indian,C,Sport,994 ccm
1915,NSU,3  1-2 PS,Sport,499 ccm
1915,Pope,Model L,Sport,998 ccm
1915,Reading,Standard R-S,Allround,1000 ccm
1915,Schickel,Big 5,Allround,648 ccm
1915,Sears,DeLuxe,Sport,575 ccm
1916,Ariel,3.5 HP,Allround,499 ccm
1916,Ariel,V-twin,Allround,700 ccm
1916,Blackburne,4HP,Sport,499 ccm
1916,Cleveland,Lighweight engine no.286,Sport,221 ccm
1916,Emblem,Emblem,Allround,38 ccm
1916,Excelsior,7-C,Allround,1000 ccm
1916,Harley-Davidson,Model F,Sport,989 ccm
1916,Harley-Davidson,Model J,Allround,989 ccm
1916,Harley-Davidson,Racer,Allround,1000 ccm
1916,Indian,B,Sport,684 ccm
1916,NSU,3  1-2 PS,Sport,499 ccm
1916,Pope,Model L,Sport,998 ccm
1916,Reading,Standard R-S,Allround,1000 ccm
1916,Sears,DeLuxe,Sport,575 ccm
1917,Blackburne,4HP,Sport,499 ccm
1917,Cleveland,Lighweight engine no.286,Sport,221 ccm
1917,Dayton,E8,Allround,1157 ccm
1917,Emblem,Emblem,Allround,38 ccm
1917,Excelsior,7-C,Allround,1000 ccm
1917,Harley-Davidson,Model F,Sport,989 ccm
1917,Harley-Davidson,Model J,Allround,989 ccm
1917,Harley-Davidson,Racer,Allround,1000 ccm
1917,Indian,Military Powerplus,Allround,1000 ccm
1917,Indian,Model O,Allround,257 ccm
1917,Indian,N,Allround,997 ccm
1917,NSU,3  1-2 PS,Sport,499 ccm
1917,Pope,Model L,Sport,998 ccm
1917,Reading,Standard R-S,Allround,1000 ccm
1918,Ariel,4 HP,Allround,498 ccm
1918,Blackburne,4HP,Sport,499 ccm
1918,Cleveland,Lighweight engine no.286,Sport,221 ccm
1918,Emblem,Emblem,Allround,38 ccm
1918,Harley-Davidson,Model F,Sport,989 ccm
1918,Harley-Davidson,Model J,Allround,989 ccm
1918,Harley-Davidson,Racer,Allround,1000 ccm
1918,Indian,Military Powerplus,Allround,1000 ccm
1918,Indian,Model O,Allround,257 ccm
1918,Indian,N,Allround,997 ccm
1918,NSU,3  1-2 PS,Sport,499 ccm
1918,Pope,Model L,Sport,998 ccm
1918,Reading,Standard R-S,Allround,1000 ccm
1919,Blackburne,4HP,Sport,499 ccm
1919,Cleveland,HP,Sport,179 ccm
1919,Cleveland,Lighweight engine no.286,Sport,221 ccm
1919,Harley-Davidson,Model F,Sport,989 ccm
1919,Harley-Davidson,Model J,Allround,989 ccm
1919,Harley-Davidson,Model W Sport Twin,Allround,584 ccm
1919,Harley-Davidson,Racer,Allround,1000 ccm
1919,Harley-Davidson,Sport Twin,Sport,590 ccm
1919,Indian,Military Powerplus,Allround,1000 ccm
1919,Indian,Model O,Allround,257 ccm
1919,Indian,NE,Sport,997 ccm
1919,Pope,Model L,Sport,998 ccm
