Year,Make,Model,Category,Engine,Package
1950,AJS,Model 16 350MS,Allround,347 ccm,
1950,AJS,Model 20 500,Allround,498 ccm,
1950,Ariel,4G Square Four Mark I,Allround,995 ccm,
1950,Ariel,KH 500 Red Hunter,Allround,498 ccm,
1950,Ariel,MK1 Square Four,Allround,997 ccm,
1950,Ariel,NH 350 Red Hunter,Allround,346 ccm,
1950,Ariel,VB 600,Allround,598 ccm,
1950,Ariel,VH 500 Red Hunter,Allround,497 ccm,
1950,BMW,R24,Allround,247 ccm,
1950,BMW,R25,Allround,247 ccm,
1950,BMW,R51 2,Allround,494 ccm,
1950,Cushman,Eagle,Scooter,318 ccm,
1950,DKW,RT 175 W,Sport,123 ccm,
1950,Gilera,Saturno San Remo,Sport,499 ccm,
1950,Gilera,Saturno Turismo,Sport,499 ccm,
1950,Harley-Davidson,EL,Custom/cruiser,1000 ccm,
1950,Harley-Davidson,ES,Custom/cruiser,1000 ccm,
1950,Harley-Davidson,FL Hydra Glide,Touring,1208 ccm,
1950,Harley-Davidson,Model E,Custom/cruiser,1000 ccm,
1950,Harley-Davidson,S-125,Allround,165 ccm,
1950,Harley-Davidson,Servi-Car GE,Allround,740 ccm,
1950,Hercules,211,Sport,98 ccm,
1950,Hercules,311,Sport,123 ccm,
1950,Hercules,MF 2,Sport,98 ccm,
1950,Horex,Regina 400,Naked bike,400 ccm,
1950,Indian,Chief,Custom/cruiser,1300 ccm,
1950,Indian,Scout 440,Allround,440 ccm,
1950,Lambretta,125B,Scooter,123 ccm,
1950,Lambretta,125C,Scooter,124 ccm,
1950,Matchless,G3 350,Sport,347 ccm,
1950,Moto,Guzzi Dondolino,Sport,498 ccm,
1950,Moto,Guzzi Falcone Sport,Allround,498 ccm,
1950,Nimbus,2510,Allround,750 ccm,
1950,Norton,Dominator Model 7,Naked bike,497 ccm,
1950,Norton,International Model 30,Sport,490 ccm,
1950,Norton,Manx Daytona Racer,Sport,495 ccm,
1950,NSU,101 OSB,Sport,98 ccm,
1950,Rikuo,RT 2,Allround,750 ccm,
1950,Simplex,Automatic,Allround,130 ccm,
1950,Sunbeam,S7 500,Sport touring,487 ccm,
1950,Sunbeam,S8 500,Sport touring,487 ccm,
1950,Triumph,500 Grand Prix,Sport,498 ccm,
1950,Triumph,Speed Twin,Allround,498 ccm,
1950,Triumph,Speed Twin 5T,Sport,498 ccm,
1950,Velocette,KTT,Cross/motocross,348 ccm,
1950,Velocette,KTT Mk VIII,Sport,348 ccm,
1950,Velocette,Mac,Allround,349 ccm,
1950,Vespa,Circuito,Scooter,125 ccm,
1950,Vespa,Monthlery,Sport,125 ccm,
1950,Vincent,HRD Series B Rapide,Allround,998 ccm,
1950,Zündapp,DB 201,Allround,198 ccm,
1950,Zündapp,KS 601,Allround,592 ccm,
1951,AJS,Model 16 350MS,Allround,347 ccm,
1951,AJS,Model 20 500,Allround,498 ccm,
1951,Ariel,4G Square Four Mark I,Allround,995 ccm,
1951,Ariel,KH 500 Red Hunter,Allround,498 ccm,
1951,Ariel,MK1 Square Four,Allround,997 ccm,
1951,Ariel,NH 350 Red Hunter,Allround,346 ccm,
1951,Ariel,VB 600,Allround,598 ccm,
1951,Ariel,VH 500 Red Hunter,Allround,497 ccm,
1951,BMW,R25,Allround,247 ccm,
1951,BMW,R25 2,Allround,247 ccm,
1951,BMW,R51 2,Allround,494 ccm,
1951,BMW,R51 3,Allround,494 ccm,
1951,BMW,R67,Allround,594 ccm,
1951,BSA,350 Plunger,Classic,350 ccm,
1951,BSA,Daytona Replica,Sport,497 ccm,
1951,Cushman,Eagle,Scooter,318 ccm,
1951,DKW,RT 175 W,Sport,123 ccm,
1951,DKW,RT 200,Sport,193 ccm,
1951,Gilera,Saturno Bialbero,Sport,499 ccm,
1951,Gilera,Saturno Corsa,Sport,499 ccm,
1951,Gilera,Saturno San Remo,Sport,499 ccm,
1951,Harley-Davidson,EL,Custom/cruiser,1000 ccm,
1951,Harley-Davidson,FL Hydra Glide,Touring,1208 ccm,
1951,Harley-Davidson,S-125,Allround,165 ccm,
1951,Harley-Davidson,Servi-Car GE,Allround,740 ccm,
1951,Hercules,311,Sport,123 ccm,
1951,Hercules,313 Starr,Sport,123 ccm,
1951,Hercules,314,Sport,174 ccm,
1951,Hercules,316,Sport,98 ccm,
1951,Hercules,MF 2,Sport,98 ccm,
1951,Horex,Regina 400,Naked bike,400 ccm,
1951,Indian,Chief,Custom/cruiser,1300 ccm,
1951,Indian,Scout 440,Allround,440 ccm,
1951,Lambretta,125B,Scooter,123 ccm,
1951,Lambretta,125C,Scooter,124 ccm,
1951,Lambretta,125D Series 1,Scooter,123 ccm,
1951,Matchless,G3 350,Sport,347 ccm,
1951,Moto,Guzzi Dondolino,Sport,498 ccm,
1951,Moto,Guzzi Falcone Sport,Allround,498 ccm,
1951,Moto,Guzzi Galetto,Scooter,160 ccm,
1951,Nimbus,2510,Allround,750 ccm,
1951,Norton,Dominator Model 7,Naked bike,497 ccm,
1951,Norton,International Model 30,Sport,490 ccm,
1951,Norton,Manx Daytona Racer,Sport,495 ccm,
1951,NSU,101 OSB,Sport,98 ccm,
1951,NSU,125ZB,Sport,123 ccm,
1951,NSU,Delphin III,Sport,499 ccm,
1951,NSU,Konsul 1,Sport,346 ccm,
1951,NSU,Konsul 2,Sport,498 ccm,
1951,NSU,Lux,Sport,198 ccm,
1951,NSU,Max,Sport,247 ccm,
1951,Rikuo,RT 2,Allround,750 ccm,
1951,Simplex,Automatic,Allround,130 ccm,
1951,Sunbeam,S7 500,Sport touring,487 ccm,
1951,Sunbeam,S8 500,Sport touring,487 ccm,
1951,Triumph,Speed Twin,Allround,498 ccm,
1951,Triumph,Speed Twin 5T,Sport,498 ccm,
1951,Velocette,Mac,Allround,349 ccm,
1951,Vincent,HRD Series B Rapide,Allround,998 ccm,
1951,Zündapp,DB 201,Allround,198 ccm,
1951,Zündapp,DB 202,Allround,198 ccm,
1951,Zündapp,KS 601,Allround,592 ccm,
